,name_server,key,Price,name_environment,CPU,RAM,value_avg_mean_cpu,value_avg_min_cpu,value_avg_max_cpu,daily_avg_max_diff_cpu,value_avg_std_cpu,days_max100,days_avg_sup_95_cpu,days_avg_lower5_cpu,value_avg_mean_mem,value_avg_min_mem,value_avg_max_mem,daily_avg_max_diff_mem,value_avg_std_mem,days_max97,days_avg_sup_95_mem,days_avg_lower5_mem
2107,SWUCFRQ87349,4#16,1383.35,UAT,4,16,4.464207114636057,2.8902696469786293,16.39404969836951,13.503780051390882,1.238639062991324,0.0,0.0,361.0,24.849192802562822,18.72539727165725,32.04507717724147,13.319679905584216,3.374927348313363,0.0,0.0,0.0
2108,SWDCFREGF060,4#32,2273.95,Dev,4,32,5.892757510561352,1.396951435722693,60.21117184919392,58.814220413471226,5.709325978742995,65.0,0.0,322.0,28.555183496343336,7.702414195315442,81.04212714393832,73.33971294862287,16.058060922199996,34.0,0.0,20.0
2109,SWPCFRAUH392,4#8,916.15,Prod,4,8,3.936554574346785,2.4566383947187425,6.741169076118173,4.284530681399431,0.8283206897712322,0.0,0.0,365.0,41.80096996608835,34.60334675205109,51.057276460623925,16.453929708572836,3.508107293928585,0.0,0.0,0.0
2110,SWBCFRV69218,2#4,470.85,Bench,2,4,7.305668817685794,4.721065377824859,25.01370634843289,20.292640970608034,2.1423409027619975,3.0,0.0,347.0,60.035598442831734,50.58872441853644,69.52759209352739,18.938867674990952,4.0869652527995965,0.0,0.0,0.0
2111,SWPCFRU36667,8#16,2664.5,Prod,8,16,8.591648905550704,1.9192732506944443,37.83044636302928,35.911173112334836,5.727693418723769,7.0,0.0,239.0,38.019790290251905,19.123323032534586,59.22292243750309,40.0995994049685,8.315746322281054,0.0,0.0,0.0
2112,SWPCFRY52960,2#8,689.85,Prod,2,8,10.946928870855924,8.933822655011054,20.92887899397302,11.995056338961964,1.9393147998451479,1.0,0.0,94.0,50.86778767967676,29.566635516850184,75.83506464309671,46.26842912624653,10.125340957799148,20.0,0.0,0.0
2113,SWUCFRAUO563,2#4,470.85,UAT,2,4,6.730569650316224,4.977590619762242,22.09434213002844,17.116751510266198,1.77044368254915,5.0,0.0,347.0,48.52773422755045,38.96061231196267,58.85458710824122,19.89397479627855,5.189768223689986,0.0,0.0,0.0
2114,SWUCFRFEN068,2#8,689.85,UAT,2,8,6.655299434151216,4.125340685381357,28.51803502686072,24.392694341479363,3.098804149481508,58.0,0.0,342.0,50.72598004436643,28.318660461876178,63.82538673594632,35.50672627407014,6.047086719204616,0.0,0.0,0.0
2115,SWDCFRFEN635,2#8,689.85,Dev,2,8,5.8119134994511565,3.8025009429132894,35.243120968171866,31.440620025258575,3.178572708300428,2.0,0.0,319.0,45.4967422849151,20.452193247504702,78.8892654814854,58.43707223398069,11.913896707303849,0.0,0.0,0.0
2116,SWPCFREP8006,16#32,7993.5,Prod,16,32,1.3341709769264192,0.8252727288504053,5.110121071774953,4.284848342924548,0.4347531778944829,0.0,0.0,365.0,19.58272406688202,9.658414052320651,24.836267410263652,15.177853357943,5.612130657964419,0.0,0.0,2.0
2117,SWTCFRDUV328,2#4,470.85,Test,2,4,6.468094993179814,4.144103109722222,56.41296137027249,52.26885826055027,3.469088990745719,16.0,0.0,351.0,59.035155024044954,47.97951216826741,75.30620620409604,27.32669403582863,4.141049155924342,0.0,0.0,0.0
2118,SWDCFRQ84846,2#8,689.85,Dev,2,8,5.104764320852577,3.761603557568268,16.15607943225047,12.3944758746822,1.614856052498947,16.0,0.0,243.0,34.71011061848705,19.38946316108214,43.55104947021616,24.161586309134016,4.699485966519689,0.0,0.0,0.0
2119,SWPCFRNXLWK9439,2#8,689.85,Prod,2,8,11.310832857034768,4.577843231344162,61.49783908774258,56.919995856398415,13.451024911956155,39.0,0.0,191.0,49.44500594106996,32.382501887146894,64.90070908108521,32.518207193938316,7.902301173664227,0.0,0.0,0.0
2120,SWBLFRNXH65CX01,2#16,1135.15,Bench,2,16,7.167485270928931,4.432668865211641,17.256131364762958,12.823462499551317,1.735500851281453,10.0,0.0,108.0,28.174792276933626,14.471499924621671,32.39297792508239,17.92147800046072,4.355547614824623,0.0,0.0,0.0
